1244424#Teixeira#Jose#21/03/2002#12243,12244,12248
1223434#Colorado#Claudio#22/03/2002#12242,12249,12250
1244111#Teixeira#Jose#25/03/2002#12242,12241,12248
1241114#Teixeira#Claudio#21/03/2002#12243,12244,12249
1244424#Teixeira#Jose#21/04/2002#12243,12244,12248
1244124#Teixeira#Jose#12/02/2002#12241,12244,12244
1212424#Teixeira#Jose#03/01/2002#12243,12244,12244
1243334#Teixeira#Jose#21/06/2002#12243,12244,12249
1244424#Colorado#Jose#02/12/2002#12242,12249,12250
1244424#Colorado#Jose#11/04/2002#12242,12249,12250
